year,age,sex,pop
2025,0,F,575758
2025,1,F,572149
2025,2,F,569634
2025,3,F,594742
2025,4,F,607639
2025,5,F,588515
2025,6,F,570373
2025,7,F,547095
2025,8,F,526994
2025,9,F,514885
2025,10,F,512827
2025,11,F,518894
2025,12,F,525570
2025,13,F,530308
2025,14,F,535290
2025,15,F,540082
2025,16,F,543269
2025,17,F,544916
2025,18,F,543452
2025,19,F,534776
2025,20,F,518572
2025,21,F,501546
2025,22,F,494615
2025,23,F,501669
2025,24,F,516548
2025,25,F,531146
2025,26,F,540920
2025,27,F,548370
2025,28,F,558373
2025,29,F,569676
2025,30,F,577049
2025,31,F,579052
2025,32,F,579055
2025,33,F,578973
2025,34,F,575674
2025,35,F,568029
2025,36,F,558731
2025,37,F,550014
2025,38,F,542326
2025,39,F,533704
2025,40,F,523241.99999999994
2025,41,F,507453
2025,42,F,485942
2025,43,F,465957
2025,44,F,445068
2025,45,F,422002
2025,46,F,400988
2025,47,F,379750
2025,48,F,360028
2025,49,F,344644
2025,50,F,333716
2025,51,F,325031
2025,52,F,315439
2025,53,F,308459
2025,54,F,303477
2025,55,F,296695
2025,56,F,288406
2025,57,F,279363
2025,58,F,271589
2025,59,F,267278
2025,60,F,266744
2025,61,F,263860
2025,62,F,256045.00000000003
2025,63,F,247519
2025,64,F,238296
2025,65,F,228770
2025,66,F,218881
2025,67,F,206695
2025,68,F,193317
2025,69,F,180726
2025,70,F,170453
2025,71,F,160449
2025,72,F,148975
2025,73,F,137985
2025,74,F,124885
2025,75,F,110549
2025,76,F,98019
2025,77,F,86031
2025,78,F,74150
2025,79,F,64980.00000000001
2025,80,F,59259
2025,81,F,55619
2025,82,F,52468
2025,83,F,48322
2025,84,F,44267
2025,85,F,40480
2025,86,F,36529
2025,87,F,32488.999999999996
2025,88,F,28207
2025,89,F,24194
2025,90,F,20919
2025,91,F,18322
2025,92,F,15764
2025,93,F,12870
2025,94,F,10131
2025,95,F,7780
2025,96,F,5831
2025,97,F,4285
2025,98,F,3048
2025,99,F,2095
2025,100,F,4462
2025,0,M,595389
2025,1,M,591229
2025,2,M,588322
2025,3,M,603303
2025,4,M,607041
2025,5,M,588514
2025,6,M,570920
2025,7,M,548660
2025,8,M,529289
2025,9,M,517899
2025,10,M,515775
2025,11,M,521292.00000000006
2025,12,M,528326
2025,13,M,533937
2025,14,M,539301
2025,15,M,544174
2025,16,M,547322
2025,17,M,548879
2025,18,M,548575
2025,19,M,542345
2025,20,M,528332
2025,21,M,513442
2025,22,M,508853
2025,23,M,516787.00000000006
2025,24,M,530423
2025,25,M,541701
2025,26,M,545914
2025,27,M,547249
2025,28,M,552105
2025,29,M,559087
2025,30,M,562444
2025,31,M,561684
2025,32,M,561813
2025,33,M,564227
2025,34,M,564001
2025,35,M,558296
2025,36,M,549009
2025,37,M,539890
2025,38,M,533095
2025,39,M,525549
2025,40,M,515611
2025,41,M,500372
2025,42,M,479875
2025,43,M,462236
2025,44,M,443403
2025,45,M,420075
2025,46,M,396274
2025,47,M,370310
2025,48,M,346214
2025,49,M,326671
2025,50,M,310786
2025,51,M,297645
2025,52,M,284512
2025,53,M,273735
2025,54,M,264238
2025,55,M,252871
2025,56,M,240095
2025,57,M,227145
2025,58,M,216714
2025,59,M,210166
2025,60,M,207193
2025,61,M,203192
2025,62,M,195822
2025,63,M,187649
2025,64,M,178719
2025,65,M,170084
2025,66,M,161430
2025,67,M,150952
2025,68,M,139571
2025,69,M,128168
2025,70,M,118341
2025,71,M,109693
2025,72,M,100468
2025,73,M,91428
2025,74,M,80177
2025,75,M,67986
2025,76,M,58024
2025,77,M,49203
2025,78,M,40770
2025,79,M,34394
2025,80,M,30295
2025,81,M,27380
2025,82,M,24832
2025,83,M,21843
2025,84,M,19072
2025,85,M,16651
2025,86,M,14399
2025,87,M,12306
2025,88,M,10304
2025,89,M,8667
2025,90,M,7531
2025,91,M,6703
2025,92,M,5835
2025,93,M,4783
2025,94,M,3777
2025,95,M,2922
2025,96,M,2213
2025,97,M,1644
2025,98,M,1180
2025,99,M,833
2025,100,M,1811
2026,0,F,577409
2026,1,F,575200
2026,2,F,572289
2026,3,F,570193
2026,4,F,595481
2026,5,F,608460
2026,6,F,589365
2026,7,F,571203
2026,8,F,547883
2026,9,F,527726
2026,10,F,515551.00000000006
2026,11,F,513419
2026,12,F,519403
2026,13,F,525991
2026,14,F,530660
2026,15,F,535749
2026,16,F,541188
2026,17,F,545795
2026,18,F,549388
2026,19,F,549832
2026,20,F,542483
2026,21,F,526611
2026,22,F,508802
2026,23,F,500262
2026,24,F,505399
2026,25,F,518481
